manufactor,name,ename,aprice,sprice,laptop_size,laptop_weight,laptop_type,Screen_size,Screen_type,Screen_resolution,CPU_manufacturer,CPU_series,CPU_model,CPU_frequency,cache_memory,RAM,RAM_type,hard_disk,internal_memory,graphic_manufacturer,graphic_model,graphic_memory,Laptop_id
apple,"
MacBook Air اپل 13 اینچ مدل MGND3 2020 پردازنده M1 رم 8GB حافظه 256GB SSD
","
Apple MacBook Air MGND3 2020 - 13 inch Laptop
","33,379,000 تومان","33,499,000 تومان",304.1x212.4x16.1 میلی‌متر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,IPS LED-backlit LCD,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,256 گیگابایت,SSD,Apple,7core Apple-designed integrated GPU,,114431
apple,"
MacBook Air اپل 13 اینچ مدل MGN63 2020 پردازنده M1 رم 8GB حافظه 256GB SSD
","
Apple MacBook Air MGN63 2020 M1 256 - 13 inch Laptop
","61,300,000 تومان","62,300,000 تومان",30.41x21.24x1.61 سانتی ‌متر,1.29 کیلوگرم,مک‌بوک,13.3 اینچ,Retina display,1600 * 2560,Apple,M1,Apple M1 Chip,,,8 گیگابایت,,256 گیگابایت,SSD,Apple,,,114682
apple,"
لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGP3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD
","
Apple MacBook Pro 14‑inch MKGP3 M1 Pro 16GB 512GB SSD Laptop
","119,000,000 تومان","120,000,000 تومان",312x212.2x156 میلی‌متر,1.6 کیلوگرم,مک‌بوک,14.2 اینچ,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,,,16 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,14core GPU16core Neural Engine200GB/s memory bandwidth,,122111
apple,"
لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGR3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD
","
Apple MacBook Pro 14‑inch MKGR3 M1 Pro 16GB 512GB SSD Laptop
","75,000,000 تومان","76,000,000 تومان",312x212.2x156 میلی‌متر,1.6 کیلوگرم,مک‌بوک,14.2 اینچ,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,,,16 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,14core GPU16core Neural Engine200GB/s memory bandwidth,,122112
apple,"
لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGQ3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD
","
Apple MacBook Pro 14‑inch MKGQ3 M1 Pro 16GB 1TB SSD Laptop
","119,000,000 تومان","120,000,000 تومان",312x212.2x156 میلی‌متر,1.6 کیلوگرم,مک‌بوک,14.2 اینچ,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122113
apple,"
لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGT3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD
","
Apple MacBook Pro 14‑inch MKGT3 M1 Pro 16GB 1TB SSD Laptop
","90,899,000 تومان","91,199,000 تومان",312x212.2x156 میلی‌متر,1.6 کیلوگرم,مک‌بوک,14.2 اینچ,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122114
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK183 پردازنده M1 Pro رم 16GB حافظه 512GB SSD
","
Apple MacBook Pro 16‑inch MK183 M1 Pro 16GB 512GB SSD Laptop
","82,300,000 تومان","83,300,000 تومان",355x248x168 میلی‌متر,2.2 کیلوگرم,مک‌بوک,16.2 اینچ,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122115
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1E3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD
","
Apple MacBook Pro 16‑inch MK1E3 M1 Pro 16GB 512GB SSD Laptop
","70,000,000 تومان","71,000,000 تومان",355x248x168 میلی‌متر,2.2 کیلوگرم,مک‌بوک,16.2 اینچ,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122116
apple,"
لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK193 پردازنده M1 Pro رم 16GB حافظه 1TB SSD
","
Apple MacBook Pro 16‑inch MK193 M1 Pro 16GB 1TB SSD Laptop
","70,000,000 تومان","71,000,000 تومان",355x248x168 میلی‌متر,2.2 کیلوگرم,مک‌بوک,16.2 اینچ,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,,,16 گیگابایت,unified memory,1 ترابایت,SSD,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,,122117
apple,"
لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEH3 پردازنده M2 رم 8GB حافظه 256GB SSD
","
Apple MacBook Pro 2022 13.3"" MNEH3 M2 8GB 256GB SSD Laptop
","46,075,000 تومان","46,300,000 تومان",1.56*30.41*21.24 سانتی ‌متر,1.4 کیلوگرم,مک‌بوک,13.3 اینچ,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",,,8 گیگابایت,unified memory,256 گیگابایت,SSD,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,125674
apple,"
لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEJ3 پردازنده M2 رم 8GB حافظه 512GB SSD
","
Apple MacBook Pro 2022 13.3"" MNEJ3 M2 8GB 512GB SSD Laptop
","56,888,000 تومان","57,888,000 تومان",1.56*30.41*21.24 سانتی ‌متر,1.4 کیلوگرم,مک‌بوک,13.3 اینچ,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",,,8 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,125675
apple,"
لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEQ3 پردازنده M2 رم 8GB حافظه 512GB SSD
","
Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop
","66,800,000 تومان","67,800,000 تومان",1.56*30.41*21.24 سانتی ‌متر,1.4 کیلوگرم,مک‌بوک,13.3 اینچ,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",,,8 گیگابایت,unified memory,512 گیگابایت,SSD,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,125676
